symbol,max_close,min_close
M,72.8,15.53
MA,107.02,19.198
MAA,109.67,45.58
MAC,94.89,29.97
MAR,86.05,24.260132
MAS,36.87,6.0720563
MAT,47.82,19.35
MCD,131.6,61.45
MCHP,66.18,25.81
MCK,242.75,58.05
MCO,112.9,18.75
MDLZ,46.94,25.11
MDT,88.92,30.41
MET,57.7,26.6
MHK,216.22,40.75
MJN,105.07,43.62
MKC,107.07,35.56
MLM,233.52,61.62
MMC,69.77,20.57
MMM,181.42,70.93
MNK,132.51,41.51
MNST,54.173332,6.225
MO,69.87,19.37
MON,126.73,45.12
MOS,89.06,22.1
MPC,59.34,30.125
MRK,64.96,29.81
MRO,41.69,6.73
MSFT,63.62,23.01
MSI,84.0,24.8612
MTB,158.1,67.01
MTD,429.91,94.1
MU,36.49,4.33
MUR,67.75,15.76
MYL,76.06,16.16
NAVI,22.37,8.41
NBL,79.23,25.72
NDAQ,71.67,17.3
NEE,130.89,45.57
NEM,72.13,15.55
NFLX,130.93,7.0185714
NFX,76.45,19.84
NI,26.77,5.599214
NKE,67.165,15.325
NLSN,55.81,30.84
NOC,251.8,48.879486
NOV,86.43,26.34
NRG,37.66,8.98
NSC,117.2,46.31
NTAP,60.6,21.22
NTRS,90.15,34.01
NUE,66.75,30.91
NVDA,117.32,8.88
NWL,54.89,11.14
NWS,18.13,10.89
NWSA,18.4,10.4
O,72.14,25.52
OKE,70.98,17.781475
OMC,88.47,33.77
ORCL,46.23,21.46
ORLY,290.63,37.73
OXY,111.07487,59.62
PAYX,61.93,24.78
PBCT,20.0,10.56
PBI,28.18,10.41
PCAR,70.76,32.63
PCG,65.39,36.86
PCLN,1578.13,175.19
PDCO,51.55,25.27
PEG,47.32,28.84
PEP,109.96,58.96
PFE,37.31,14.14
PFG,60.86,21.22
PG,93.46,58.51
PGR,35.74,16.21
PH,144.98,54.03
PHM,24.25,3.54
PKI,56.92,17.49
PLD,54.61,22.14
PM,103.63,43.17
PNC,118.31,42.98
PNR,82.81,29.96
PNW,82.56,34.5
PPG,118.85,28.84
PPL,39.68,24.24
PRGO,203.69,37.78
PRU,107.1,43.91
PSA,276.27,75.81
PSX,93.68,50.58
PVH,137.62,38.6
PWR,37.2,15.46
PX,134.67,74.01
PXD,233.07,43.62
PYPL,44.15,30.63
QCOM,81.6,31.96
QRVO,87.81,34.53
R,99.58,32.55
RAI,56.18,12.65
RCL,102.73,20.01
REGN,592.4,20.79
RF,14.64,3.02
RHI,63.0,20.06
RHT,83.65,27.0
RIG,93.02,8.2
RL,189.56,71.93
ROK,139.56,46.02
ROP,194.83,50.08
ROST,69.53,10.6725
RRC,93.7,20.45
RSG,57.5,24.76
RTN,150.54,38.83
SBUX,63.51,10.85
SCG,76.12,34.55
SCHW,40.47,10.75
SE,43.98,19.2
SEE,55.4,13.11
SHW,312.1,58.0
SIG,150.94,26.44
SJM,156.23,54.75
SLB,117.95,51.75
SLG,134.0,44.18
SNA,176.2,39.88
SNI,86.41,36.15
SO,54.54,31.13
SPG,227.6,65.33396
SPGI,127.56,27.02
SPLS,25.93,7.28
SRCL,150.84,51.16
SRE,115.85,44.51
STI,56.39,15.8
STT,81.44,30.38
STX,68.82,9.49
STZ,171.24,14.83
SWK,125.78,47.83
SWKS,110.92,12.69
SWN,51.65,5.15
SYF,37.26,23.36
SYK,122.82,42.88
SYMC,26.96,12.34
SYY,56.61,25.47
T,43.47,24.13
TAP,111.25,38.0
TDC,80.62,22.6
TDG,291.81,134.81
TEL,73.42,24.39
TGNA,38.01,8.55
TGT,85.01,46.33
TIF,108.67,36.29
TJX,82.87,18.02
TMK,74.83,19.57333
TMO,159.56,42.12
TRIP,110.21,42.76
TROW,87.59,43.6
TRV,122.57,46.8
TSCO,96.75,12.5275
TSN,76.76,12.24
TSO,118.24,10.54
TSS,56.43,13.6
TWX,96.74,25.7047
TXN,74.87,22.5
TXT,49.04,14.88
UAA,124.44,23.94
UAL,76.05,12.23
UDR,38.56,14.7
UHS,146.24,28.75
ULTA,275.89,17.29
UNH,163.94,27.85
UNM,44.6,18.36
UNP,123.83,30.25
UPS,120.16,56.15
URBN,47.01,20.79
URI,119.02,7.02
USB,52.54,20.31
UTX,124.11,63.22
V,83.36,16.37
VAR,100.29,47.17
VFC,77.61,17.4775
VIAB,88.9,27.92
VLO,73.03,14.3053
VMC,136.04,26.19
VNO,114.75,56.60326
VRSK,85.75,27.24
VRSN,93.12,22.87
VRTX,141.48,26.6
VTR,82.93,40.95
VZ,56.53,25.259945
WAT,161.82,56.18
WBA,96.68,26.36
WDC,114.28,23.62
WEC,65.82,23.83
WFC,58.52,22.88
WFM,65.24,13.61
WHR,215.0,45.37
WLTW,132.77,107.13
WM,71.14,28.17
WMB,60.86,11.16
WMT,90.47,48.0
WRK,64.99,29.94
WU,22.56,11.95
WY,53.3,15.23
WYN,94.11,20.12
WYNN,247.95,51.5
XEC,148.77,46.96
XEL,45.33,20.04
XL,40.41,15.97
XLNX,61.24,23.28
XOM,104.38,56.57
XRAY,65.14,27.78
XRX,14.32,6.23
XYL,54.75,24.19
YHOO,52.37,11.09
YUM,68.20992,23.522646
ZBH,133.09,46.97
ZION,43.93,13.33
ZTS,55.38,28.4
