month,sc.sector,avg_percent_change
5/29/20,Energy,0.49
5/29/20,Materials,0.25
5/29/20,Information Technology,0.14
5/29/20,Financials,0.11
5/29/20,Health Care,0.08
5/29/20,Industrials,-0.09
5/29/20,Consumer Discretionary,-0.14
5/29/20,Real Estate,-0.19
5/29/20,Consumer Staples,-0.22
5/29/20,Utilities,-0.27
5/29/20,Telecommunications Services,-0.69
5/3/201,Real Estate,0.29
5/3/201,Industrials,0.23
5/3/201,Consumer Discretionary,0.16
5/3/201,Utilities,0.08
5/3/201,Financials,0.06
5/3/201,Consumer Staples,-0.03
5/3/201,Health Care,-0.05
5/3/201,Telecommunications Services,-0.09
5/3/201,Information Technology,-0.28
5/3/201,Materials,-0.38
5/3/201,Energy,-0.59
5/30/20,Health Care,0.18
5/30/20,Utilities,0.11
5/30/20,Telecommunications Services,0.09
5/30/20,Financials,0.07
5/30/20,Consumer Staples,0.05
5/30/20,Information Technology,-0.04
5/30/20,Industrials,-0.12
5/30/20,Materials,-0.18
5/30/20,Consumer Discretionary,-0.24
5/30/20,Energy,-0.54
5/30/20,Real Estate,-0.6
5/31/20,Utilities,0.22
5/31/20,Real Estate,0.05
5/31/20,Industrials,-0.08
5/31/20,Information Technology,-0.13
5/31/20,Consumer Discretionary,-0.29
5/31/20,Telecommunications Services,-0.3
5/31/20,Financials,-0.4
5/31/20,Health Care,-0.41
5/31/20,Materials,-0.5
5/31/20,Consumer Staples,-0.65
5/31/20,Energy,-0.81
5/4/201,Utilities,0.26
5/4/201,Real Estate,0.07
5/4/201,Consumer Staples,-0.03
5/4/201,Telecommunications Services,-0.33
5/4/201,Health Care,-0.5
5/4/201,Financials,-0.64
5/4/201,Consumer Discretionary,-0.67
5/4/201,Information Technology,-0.82
5/4/201,Industrials,-0.91
5/4/201,Materials,-1.08
5/4/201,Energy,-1.41
5/5/201,Health Care,0.25
5/5/201,Real Estate,0.09
5/5/201,Financials,0.09
5/5/201,Industrials,-0.03
5/5/201,Consumer Staples,-0.06
5/5/201,Consumer Discretionary,-0.1
5/5/201,Information Technology,-0.11
5/5/201,Utilities,-0.34
5/5/201,Materials,-0.38
5/5/201,Telecommunications Services,-0.51
5/5/201,Energy,-0.8
5/6/201,Materials,-0.4
5/6/201,Industrials,-0.41
5/6/201,Information Technology,-0.48
5/6/201,Consumer Staples,-0.53
5/6/201,Health Care,-0.54
5/6/201,Real Estate,-0.57
5/6/201,Financials,-0.65
5/6/201,Consumer Discretionary,-0.68
5/6/201,Telecommunications Services,-0.72
5/6/201,Energy,-0.8
5/6/201,Utilities,-0.86
5/7/201,Consumer Staples,0.45
5/7/201,Utilities,0.38
5/7/201,Real Estate,0.28
5/7/201,Materials,0.27
5/7/201,Financials,0.12
5/7/201,Industrials,0.1
5/7/201,Health Care,0.05
5/7/201,Consumer Discretionary,-0.2
5/7/201,Telecommunications Services,-0.29
5/7/201,Information Technology,-0.36
5/7/201,Energy,-0.65
5/8/201,Telecommunications Services,0.67
5/8/201,Information Technology,0.55
5/8/201,Health Care,0.47
5/8/201,Financials,0.39
5/8/201,Real Estate,0.28
5/8/201,Industrials,0.27
5/8/201,Materials,0.25
5/8/201,Consumer Discretionary,0.07
5/8/201,Energy,0.03
5/8/201,Consumer Staples,0.02
5/8/201,Utilities,-0.33
5/9/201,Health Care,0.63
5/9/201,Information Technology,0.44
5/9/201,Consumer Discretionary,0.35
5/9/201,Real Estate,0.3
5/9/201,Consumer Staples,0.23
5/9/201,Energy,0.19
5/9/201,Materials,0.16
5/9/201,Telecommunications Services,0.05
5/9/201,Industrials,0.01
5/9/201,Financials,-0.02
5/9/201,Utilities,-0.31
6/1/201,Consumer Staples,-0.26
6/1/201,Utilities,-0.36
6/1/201,Health Care,-0.42
6/1/201,Real Estate,-0.62
6/1/201,Information Technology,-0.76
6/1/201,Consumer Discretionary,-0.88
6/1/201,Industrials,-0.9
6/1/201,Materials,-1.1
6/1/201,Financials,-1.16
6/1/201,Energy,-1.26
6/1/201,Telecommunications Services,-1.48
6/10/20,Financials,0.43
6/10/20,Telecommunications Services,0.28
6/10/20,Materials,0.25
6/10/20,Information Technology,0.16
6/10/20,Consumer Staples,0.14
6/10/20,Health Care,0.06
6/10/20,Industrials,0.02
6/10/20,Real Estate,0.01
6/10/20,Consumer Discretionary,-0.06
6/10/20,Utilities,-0.13
6/10/20,Energy,-0.39
6/11/20,Health Care,0.2
6/11/20,Consumer Staples,-0.06
6/11/20,Telecommunications Services,-0.06
6/11/20,Industrials,-0.08
6/11/20,Information Technology,-0.17
6/11/20,Real Estate,-0.18
6/11/20,Utilities,-0.18
6/11/20,Consumer Discretionary,-0.22
6/11/20,Materials,-0.24
6/11/20,Energy,-0.28
6/11/20,Financials,-0.32
6/12/20,Telecommunications Services,0.07
6/12/20,Financials,-0.23
6/12/20,Consumer Staples,-0.28
6/12/20,Real Estate,-0.29
6/12/20,Energy,-0.31
6/12/20,Information Technology,-0.37
6/12/20,Materials,-0.39
6/12/20,Utilities,-0.4
6/12/20,Consumer Discretionary,-0.41
6/12/20,Industrials,-0.45
6/12/20,Health Care,-0.45
6/13/20,Telecommunications Services,0.59
6/13/20,Real Estate,0.55
6/13/20,Utilities,0.46
6/13/20,Financials,0.23
6/13/20,Information Technology,0.14
6/13/20,Industrials,0.09
6/13/20,Consumer Staples,0.09
6/13/20,Health Care,0.03
6/13/20,Materials,-0.03
6/13/20,Energy,-0.1
6/13/20,Consumer Discretionary,-0.11
6/14/20,Real Estate,0.35
6/14/20,Health Care,0.31
6/14/20,Consumer Staples,0.29
6/14/20,Utilities,0.18
6/14/20,Consumer Discretionary,0.15
6/14/20,Telecommunications Services,0.15
6/14/20,Energy,0.11
6/14/20,Industrials,0.08
6/14/20,Information Technology,-0.13
6/14/20,Materials,-0.21
6/14/20,Financials,-0.56
6/15/20,Energy,0.7
6/15/20,Information Technology,0.55
6/15/20,Consumer Discretionary,0.54
6/15/20,Real Estate,0.33
6/15/20,Telecommunications Services,0.33
6/15/20,Materials,0.26
6/15/20,Industrials,0.25
6/15/20,Financials,0.23
6/15/20,Health Care,0.17
6/15/20,Utilities,-0.05
6/15/20,Consumer Staples,-0.13
6/16/20,Utilities,0.77
6/16/20,Consumer Staples,0.63
6/16/20,Telecommunications Services,0.56
6/16/20,Financials,0.55
6/16/20,Information Technology,0.41
6/16/20,Real Estate,0.37
6/16/20,Health Care,0.35
6/16/20,Consumer Discretionary,0.34
6/16/20,Industrials,0.34
6/16/20,Energy,0.33
6/16/20,Materials,0.2
6/17/20,Utilities,0.34
6/17/20,Consumer Staples,0.16
6/17/20,Consumer Discretionary,0.12
6/17/20,Real Estate,0.09
6/17/20,Financials,0.05
6/17/20,Industrials,-0.02
6/17/20,Information Technology,-0.1
6/17/20,Materials,-0.16
6/17/20,Energy,-0.18
6/17/20,Health Care,-0.29
6/17/20,Telecommunications Services,-0.32
6/18/20,Utilities,0.94
6/18/20,Industrials,0.69
6/18/20,Health Care,0.67
6/18/20,Consumer Discretionary,0.65
6/18/20,Materials,0.64
6/18/20,Information Technology,0.61
6/18/20,Real Estate,0.52
6/18/20,Consumer Staples,0.44
6/18/20,Telecommunications Services,0.42
6/18/20,Financials,0.39
6/18/20,Energy,0.19
6/19/20,Energy,0.07
6/19/20,Materials,0.04
6/19/20,Industrials,-0.12
6/19/20,Consumer Discretionary,-0.16
6/19/20,Health Care,-0.24
6/19/20,Financials,-0.25
6/19/20,Consumer Staples,-0.36
6/19/20,Information Technology,-0.38
6/19/20,Telecommunications Services,-0.51
6/19/20,Utilities,-0.64
6/19/20,Real Estate,-0.74
6/2/201,Energy,1.04
6/2/201,Industrials,0.79
6/2/201,Financials,0.76
6/2/201,Health Care,0.66
6/2/201,Consumer Discretionary,0.61
6/2/201,Information Technology,0.61
6/2/201,Materials,0.55
6/2/201,Real Estate,0.35
6/2/201,Telecommunications Services,0.31
6/2/201,Consumer Staples,0.1
6/2/201,Utilities,0.09
6/20/20,Industrials,-0.06
6/20/20,Health Care,-0.14
6/20/20,Materials,-0.16
6/20/20,Financials,-0.2
6/20/20,Consumer Discretionary,-0.21
6/20/20,Information Technology,-0.21
6/20/20,Telecommunications Services,-0.36
6/20/20,Energy,-0.38
6/20/20,Real Estate,-0.44
6/20/20,Consumer Staples,-0.49
6/20/20,Utilities,-0.74
6/21/20,Telecommunications Services,-0.09
6/21/20,Consumer Staples,-0.36
6/21/20,Utilities,-0.44
6/21/20,Real Estate,-0.45
6/21/20,Health Care,-0.58
6/21/20,Information Technology,-0.74
6/21/20,Energy,-0.75
6/21/20,Industrials,-0.77
6/21/20,Financials,-0.83
6/21/20,Materials,-0.87
6/21/20,Consumer Discretionary,-0.9
6/22/20,Health Care,-0.16
6/22/20,Information Technology,-0.21
6/22/20,Telecommunications Services,-0.24
6/22/20,Consumer Staples,-0.32
6/22/20,Financials,-0.34
6/22/20,Materials,-0.49
6/22/20,Energy,-0.51
6/22/20,Consumer Discretionary,-0.71
6/22/20,Industrials,-0.76
6/22/20,Utilities,-0.77
6/22/20,Real Estate,-1.01
6/23/20,Information Technology,0.55
6/23/20,Consumer Discretionary,0.46
6/23/20,Energy,0.44
6/23/20,Materials,0.33
6/23/20,Telecommunications Services,0.32
6/23/20,Financials,0.3
6/23/20,Health Care,0.09
6/23/20,Industrials,0.04
6/23/20,Real Estate,-0.07
6/23/20,Consumer Staples,-0.07
6/23/20,Utilities,-0.44
6/24/20,Utilities,0.22
6/24/20,Consumer Staples,0.0
6/24/20,Real Estate,-0.17
6/24/20,Health Care,-0.48
6/24/20,Consumer Discretionary,-0.74
6/24/20,Industrials,-0.95
6/24/20,Energy,-0.96
6/24/20,Financials,-0.98
6/24/20,Telecommunications Services,-1.01
6/24/20,Materials,-1.06
6/24/20,Information Technology,-1.06
6/25/20,Real Estate,0.48
6/25/20,Utilities,0.21
6/25/20,Health Care,0.21
6/25/20,Financials,0.11
6/25/20,Energy,0.1
6/25/20,Telecommunications Services,0.04
6/25/20,Materials,0.02
6/25/20,Consumer Discretionary,0.01
6/25/20,Industrials,-0.16
6/25/20,Information Technology,-0.18
6/25/20,Consumer Staples,-0.34
6/26/20,Utilities,0.46
6/26/20,Real Estate,0.38
6/26/20,Consumer Discretionary,0.23
6/26/20,Energy,0.18
6/26/20,Financials,0.08
6/26/20,Consumer Staples,0.06
6/26/20,Materials,0.01
6/26/20,Industrials,-0.08
6/26/20,Health Care,-0.1
6/26/20,Information Technology,-0.36
6/26/20,Telecommunications Services,-0.54
6/27/20,Utilities,0.64
6/27/20,Real Estate,0.58
6/27/20,Consumer Staples,0.29
6/27/20,Industrials,0.14
6/27/20,Consumer Discretionary,0.03
6/27/20,Health Care,-0.01
6/27/20,Financials,-0.02
6/27/20,Energy,-0.03
6/27/20,Information Technology,-0.03
6/27/20,Telecommunications Services,-0.07
6/27/20,Materials,-0.42
6/28/20,Energy,0.65
6/28/20,Utilities,0.59
6/28/20,Health Care,0.44
6/28/20,Consumer Discretionary,0.41
6/28/20,Real Estate,0.39
6/28/20,Telecommunications Services,0.36
6/28/20,Industrials,0.34
6/28/20,Information Technology,0.34
6/28/20,Financials,0.31
6/28/20,Consumer Staples,0.27
6/28/20,Materials,0.24
6/29/20,Information Technology,-0.03
6/29/20,Consumer Staples,-0.05
6/29/20,Energy,-0.05
6/29/20,Financials,-0.13
6/29/20,Health Care,-0.22
6/29/20,Real Estate,-0.24
6/29/20,Telecommunications Services,-0.31
6/29/20,Materials,-0.31
6/29/20,Industrials,-0.37
6/29/20,Utilities,-0.39
6/29/20,Consumer Discretionary,-0.47
6/3/201,Energy,0.4
6/3/201,Telecommunications Services,0.37
6/3/201,Utilities,0.2
6/3/201,Health Care,0.12
6/3/201,Consumer Staples,0.11
6/3/201,Industrials,0.07
6/3/201,Information Technology,0.04
6/3/201,Consumer Discretionary,0.03
6/3/201,Materials,0.02
6/3/201,Financials,0.0
6/3/201,Real Estate,-0.11
6/30/20,Consumer Staples,0.37
6/30/20,Utilities,0.3
6/30/20,Industrials,0.28
6/30/20,Energy,0.22
6/30/20,Materials,0.15
6/30/20,Information Technology,0.09
6/30/20,Financials,0.08
6/30/20,Consumer Discretionary,0.01
6/30/20,Health Care,-0.03
6/30/20,Real Estate,-0.12
6/30/20,Telecommunications Services,-0.19
6/4/201,Consumer Staples,-0.12
6/4/201,Telecommunications Services,-0.25
6/4/201,Utilities,-0.34
6/4/201,Health Care,-0.39
6/4/201,Information Technology,-0.39
6/4/201,Consumer Discretionary,-0.44
6/4/201,Materials,-0.44
6/4/201,Energy,-0.69
6/4/201,Financials,-0.73
6/4/201,Real Estate,-0.93
6/4/201,Industrials,-0.95
6/5/201,Real Estate,0.73
6/5/201,Energy,0.69
6/5/201,Information Technology,0.44
6/5/201,Consumer Discretionary,0.21
6/5/201,Health Care,0.2
6/5/201,Industrials,0.18
6/5/201,Utilities,0.16
6/5/201,Financials,0.15
6/5/201,Materials,0.12
6/5/201,Consumer Staples,-0.3
6/5/201,Telecommunications Services,-0.39
6/6/201,Financials,0.72
6/6/201,Industrials,0.63
6/6/201,Energy,0.57
6/6/201,Materials,0.47
6/6/201,Information Technology,0.47
6/6/201,Health Care,0.44
6/6/201,Consumer Discretionary,0.42
6/6/201,Utilities,0.23
6/6/201,Consumer Staples,0.21
6/6/201,Real Estate,0.15
6/6/201,Telecommunications Services,0.06
6/7/201,Utilities,0.06
6/7/201,Consumer Staples,-0.06
6/7/201,Energy,-0.25
6/7/201,Health Care,-0.26
6/7/201,Real Estate,-0.52
6/7/201,Industrials,-0.57
6/7/201,Materials,-0.58
6/7/201,Information Technology,-0.63
6/7/201,Telecommunications Services,-0.64
6/7/201,Consumer Discretionary,-0.64
6/7/201,Financials,-0.75
6/8/201,Real Estate,0.57
6/8/201,Consumer Staples,0.5
6/8/201,Utilities,0.4
6/8/201,Materials,0.37
6/8/201,Telecommunications Services,0.37
6/8/201,Financials,0.32
6/8/201,Industrials,0.2
6/8/201,Consumer Discretionary,0.2
6/8/201,Health Care,0.16
6/8/201,Energy,-0.03
6/8/201,Information Technology,-0.16
6/9/201,Consumer Staples,0.24
6/9/201,Industrials,0.17
6/9/201,Consumer Discretionary,0.04
6/9/201,Financials,0.03
6/9/201,Health Care,-0.01
6/9/201,Materials,-0.09
6/9/201,Information Technology,-0.1
6/9/201,Utilities,-0.16
6/9/201,Energy,-0.23
6/9/201,Telecommunications Services,-0.29
6/9/201,Real Estate,-0.51
7/1/201,Consumer Discretionary,0.8
7/1/201,Telecommunications Services,0.45
7/1/201,Information Technology,0.4
7/1/201,Health Care,0.33
7/1/201,Consumer Staples,0.31
7/1/201,Industrials,0.3
7/1/201,Real Estate,0.25
7/1/201,Financials,0.22
7/1/201,Materials,0.15
7/1/201,Energy,-0.07
7/1/201,Utilities,-0.35
7/10/20,Utilities,0.52
7/10/20,Consumer Staples,0.17
7/10/20,Health Care,0.17
7/10/20,Information Technology,0.08
7/10/20,Telecommunications Services,0.04
7/10/20,Consumer Discretionary,-0.11
7/10/20,Real Estate,-0.16
7/10/20,Materials,-0.24
7/10/20,Financials,-0.27
7/10/20,Industrials,-0.28
7/10/20,Energy,-0.97
7/11/20,Real Estate,0.27
7/11/20,Utilities,0.09
7/11/20,Consumer Staples,0.04
7/11/20,Information Technology,0.02
7/11/20,Telecommunications Services,-0.03
7/11/20,Industrials,-0.04
7/11/20,Financials,-0.1
7/11/20,Health Care,-0.13
7/11/20,Materials,-0.24
7/11/20,Consumer Discretionary,-0.26
7/11/20,Energy,-0.4
7/12/20,Energy,0.77
7/12/20,Real Estate,0.36
7/12/20,Utilities,0.3
7/12/20,Financials,0.28
7/12/20,Health Care,0.27
7/12/20,Consumer Discretionary,0.23
7/12/20,Information Technology,0.14
7/12/20,Materials,0.09
7/12/20,Consumer Staples,0.07
7/12/20,Telecommunications Services,0.07
7/12/20,Industrials,0.07
7/13/20,Financials,0.7
7/13/20,Materials,0.64
7/13/20,Consumer Discretionary,0.5
7/13/20,Industrials,0.45
7/13/20,Telecommunications Services,0.44
7/13/20,Information Technology,0.37
7/13/20,Consumer Staples,0.3
7/13/20,Health Care,0.29
7/13/20,Real Estate,0.12
7/13/20,Energy,0.06
7/13/20,Utilities,0.01
7/14/20,Health Care,0.06
7/14/20,Telecommunications Services,0.03
7/14/20,Materials,-0.05
7/14/20,Consumer Staples,-0.06
7/14/20,Energy,-0.13
7/14/20,Industrials,-0.21
7/14/20,Information Technology,-0.28
7/14/20,Real Estate,-0.34
7/14/20,Utilities,-0.39
7/14/20,Consumer Discretionary,-0.45
7/14/20,Financials,-0.46
7/15/20,Utilities,0.58
7/15/20,Real Estate,0.11
7/15/20,Consumer Staples,-0.03
7/15/20,Information Technology,-0.14
7/15/20,Energy,-0.17
7/15/20,Financials,-0.19
7/15/20,Materials,-0.21
7/15/20,Industrials,-0.22
7/15/20,Consumer Discretionary,-0.26
7/15/20,Health Care,-0.28
7/15/20,Telecommunications Services,-0.32
7/16/20,Telecommunications Services,0.43
7/16/20,Utilities,-0.15
7/16/20,Energy,-0.29
7/16/20,Consumer Staples,-0.36
7/16/20,Real Estate,-0.37
7/16/20,Information Technology,-0.58
7/16/20,Materials,-0.6
7/16/20,Health Care,-0.69
7/16/20,Industrials,-0.69
7/16/20,Financials,-0.88
7/16/20,Consumer Discretionary,-0.95
7/17/20,Materials,0.17
7/17/20,Real Estate,0.04
7/17/20,Telecommunications Services,0.03
7/17/20,Health Care,-0.04
7/17/20,Consumer Discretionary,-0.11
7/17/20,Consumer Staples,-0.17
7/17/20,Financials,-0.19
7/17/20,Industrials,-0.22
7/17/20,Information Technology,-0.29
7/17/20,Utilities,-0.52
7/17/20,Energy,-0.54
7/18/20,Energy,0.62
7/18/20,Information Technology,0.57
7/18/20,Industrials,0.46
7/18/20,Health Care,0.41
7/18/20,Consumer Discretionary,0.37
7/18/20,Materials,0.32
7/18/20,Utilities,0.31
7/18/20,Financials,0.18
7/18/20,Consumer Staples,0.18
7/18/20,Telecommunications Services,0.16
7/18/20,Real Estate,0.04
7/19/20,Information Technology,0.57
7/19/20,Consumer Discretionary,0.46
7/19/20,Real Estate,0.41
7/19/20,Consumer Staples,0.35
7/19/20,Utilities,0.32
7/19/20,Health Care,0.32
7/19/20,Industrials,0.31
7/19/20,Energy,0.29
7/19/20,Materials,0.26
7/19/20,Telecommunications Services,0.19
7/19/20,Financials,0.07
7/2/201,Consumer Staples,0.06
7/2/201,Energy,-0.12
7/2/201,Health Care,-0.12
7/2/201,Real Estate,-0.14
7/2/201,Utilities,-0.17
7/2/201,Information Technology,-0.27
7/2/201,Consumer Discretionary,-0.34
7/2/201,Materials,-0.36
7/2/201,Telecommunications Services,-0.4
7/2/201,Financials,-0.46
7/2/201,Industrials,-0.62
7/20/20,Real Estate,0.86
7/20/20,Materials,0.65
7/20/20,Consumer Discretionary,0.48
7/20/20,Energy,0.48
7/20/20,Industrials,0.43
7/20/20,Utilities,0.42
7/20/20,Financials,0.35
7/20/20,Information Technology,0.18
7/20/20,Consumer Staples,0.13
7/20/20,Health Care,0.12
7/20/20,Telecommunications Services,-0.24
7/21/20,Utilities,-0.16
7/21/20,Health Care,-0.23
7/21/20,Industrials,-0.27
7/21/20,Consumer Staples,-0.29
7/21/20,Materials,-0.36
7/21/20,Financials,-0.43
7/21/20,Consumer Discretionary,-0.47
7/21/20,Information Technology,-0.48
7/21/20,Energy,-0.52
7/21/20,Real Estate,-0.57
7/21/20,Telecommunications Services,-0.6
7/22/20,Real Estate,0.69
7/22/20,Information Technology,0.62
7/22/20,Financials,0.59
7/22/20,Consumer Discretionary,0.5
7/22/20,Telecommunications Services,0.37
7/22/20,Health Care,0.34
7/22/20,Utilities,0.32
7/22/20,Industrials,0.27
7/22/20,Consumer Staples,0.12
7/22/20,Materials,0.03
7/22/20,Energy,-0.03
7/23/20,Energy,0.43
7/23/20,Consumer Discretionary,0.33
7/23/20,Industrials,0.25
7/23/20,Real Estate,0.25
7/23/20,Telecommunications Services,0.14
7/23/20,Financials,0.12
7/23/20,Materials,0.1
7/23/20,Information Technology,0.09
7/23/20,Consumer Staples,0.04
7/23/20,Health Care,-0.14
7/23/20,Utilities,-0.23
7/24/20,Consumer Staples,-0.44
7/24/20,Utilities,-0.49
7/24/20,Financials,-0.5
7/24/20,Real Estate,-0.59
7/24/20,Health Care,-0.69
7/24/20,Information Technology,-0.7
7/24/20,Consumer Discretionary,-0.79
7/24/20,Telecommunications Services,-0.83
7/24/20,Industrials,-1.04
7/24/20,Materials,-1.05
7/24/20,Energy,-1.28
7/25/20,Materials,0.28
7/25/20,Information Technology,0.26
7/25/20,Financials,0.07
7/25/20,Consumer Staples,0.07
7/25/20,Utilities,0.06
7/25/20,Energy,0.05
7/25/20,Consumer Discretionary,0.04
7/25/20,Health Care,0.01
7/25/20,Industrials,0.0
7/25/20,Real Estate,-0.15
7/25/20,Telecommunications Services,-0.64
7/26/20,Energy,0.73
7/26/20,Information Technology,0.68
7/26/20,Consumer Discretionary,0.58
7/26/20,Financials,0.55
7/26/20,Real Estate,0.4
7/26/20,Industrials,0.33
7/26/20,Health Care,0.28
7/26/20,Telecommunications Services,0.28
7/26/20,Utilities,0.17
7/26/20,Consumer Staples,0.12
7/26/20,Materials,0.03
7/27/20,Utilities,0.37
7/27/20,Telecommunications Services,0.17
7/27/20,Health Care,-0.15
7/27/20,Consumer Staples,-0.22
7/27/20,Financials,-0.35
7/27/20,Materials,-0.41
7/27/20,Information Technology,-0.47
7/27/20,Industrials,-0.54
7/27/20,Real Estate,-0.57
7/27/20,Energy,-0.68
7/27/20,Consumer Discretionary,-0.73
7/28/20,Energy,0.46
7/28/20,Real Estate,0.3
7/28/20,Utilities,0.29
7/28/20,Materials,0.26
7/28/20,Information Technology,0.05
7/28/20,Consumer Staples,-0.03
7/28/20,Health Care,-0.1
7/28/20,Industrials,-0.11
7/28/20,Financials,-0.12
7/28/20,Consumer Discretionary,-0.13
7/28/20,Telecommunications Services,-0.26
7/29/20,Energy,0.73
7/29/20,Materials,0.11
7/29/20,Financials,0.08
7/29/20,Consumer Discretionary,0.05
7/29/20,Industrials,-0.02
7/29/20,Real Estate,-0.02
7/29/20,Health Care,-0.07
7/29/20,Consumer Staples,-0.1
7/29/20,Information Technology,-0.25
7/29/20,Utilities,-0.29
7/29/20,Telecommunications Services,-0.54
7/3/201,Information Technology,0.92
7/3/201,Energy,0.78
7/3/201,Materials,0.7
7/3/201,Financials,0.66
7/3/201,Industrials,0.65
7/3/201,Consumer Discretionary,0.58
7/3/201,Telecommunications Services,0.37
7/3/201,Health Care,0.29
7/3/201,Consumer Staples,0.22
7/3/201,Real Estate,0.0
7/3/201,Utilities,-0.04
7/30/20,Consumer Discretionary,0.4
7/30/20,Information Technology,0.39
7/30/20,Materials,0.38
7/30/20,Industrials,0.31
7/30/20,Real Estate,0.26
7/30/20,Financials,0.25
7/30/20,Health Care,0.21
7/30/20,Telecommunications Services,0.1
7/30/20,Consumer Staples,0.06
7/30/20,Utilities,0.0
7/30/20,Energy,-0.21
7/31/20,Telecommunications Services,0.36
7/31/20,Consumer Discretionary,-0.35
7/31/20,Industrials,-0.35
7/31/20,Consumer Staples,-0.44
7/31/20,Information Technology,-0.45
7/31/20,Health Care,-0.5
7/31/20,Utilities,-0.53
7/31/20,Financials,-0.54
7/31/20,Materials,-0.83
7/31/20,Energy,-0.85
7/31/20,Real Estate,-0.92
7/5/201,Consumer Discretionary,0.18
7/5/201,Real Estate,0.18
7/5/201,Health Care,0.09
7/5/201,Consumer Staples,0.06
7/5/201,Information Technology,0.06
7/5/201,Industrials,-0.12
7/5/201,Utilities,-0.2
7/5/201,Telecommunications Services,-0.21
7/5/201,Energy,-0.32
7/5/201,Materials,-0.32
7/5/201,Financials,-0.36
7/6/201,Health Care,0.38
7/6/201,Utilities,0.38
7/6/201,Financials,0.34
7/6/201,Telecommunications Services,0.18
7/6/201,Consumer Staples,0.18
7/6/201,Industrials,0.06
7/6/201,Materials,0.06
7/6/201,Consumer Discretionary,0.03
7/6/201,Energy,-0.06
7/6/201,Real Estate,-0.07
7/6/201,Information Technology,-0.2
7/7/201,Real Estate,1.13
7/7/201,Consumer Discretionary,0.9
7/7/201,Financials,0.85
7/7/201,Information Technology,0.84
7/7/201,Utilities,0.75
7/7/201,Industrials,0.71
7/7/201,Materials,0.59
7/7/201,Consumer Staples,0.58
7/7/201,Energy,0.46
7/7/201,Telecommunications Services,0.32
7/7/201,Health Care,0.08
7/8/201,Utilities,0.57
7/8/201,Real Estate,0.36
7/8/201,Telecommunications Services,0.34
7/8/201,Consumer Staples,0.2
7/8/201,Materials,0.19
7/8/201,Industrials,0.05
7/8/201,Energy,-0.01
7/8/201,Consumer Discretionary,-0.06
7/8/201,Health Care,-0.13
7/8/201,Financials,-0.21
7/8/201,Information Technology,-0.23
7/9/201,Real Estate,0.36
7/9/201,Materials,0.21
7/9/201,Financials,0.18
7/9/201,Industrials,0.13
7/9/201,Consumer Discretionary,0.09
7/9/201,Energy,0.05
7/9/201,Health Care,-0.02
7/9/201,Utilities,-0.13
7/9/201,Information Technology,-0.15
7/9/201,Telecommunications Services,-0.23
7/9/201,Consumer Staples,-0.28
8/1/201,Utilities,-0.09
8/1/201,Consumer Staples,-0.12
8/1/201,Information Technology,-0.4
8/1/201,Materials,-0.48
8/1/201,Consumer Discretionary,-0.5
8/1/201,Industrials,-0.53
8/1/201,Real Estate,-0.56
8/1/201,Financials,-0.57
8/1/201,Health Care,-0.6
8/1/201,Energy,-0.72
8/1/201,Telecommunications Services,-0.76
8/10/20,Telecommunications Services,0.56
8/10/20,Energy,0.45
8/10/20,Utilities,0.18
8/10/20,Materials,0.12
8/10/20,Consumer Staples,-0.08
8/10/20,Real Estate,-0.1
8/10/20,Information Technology,-0.19
8/10/20,Industrials,-0.24
8/10/20,Health Care,-0.26
8/10/20,Consumer Discretionary,-0.28
8/10/20,Financials,-0.81
8/11/20,Energy,1.02
8/11/20,Real Estate,0.8
8/11/20,Utilities,0.72
8/11/20,Consumer Discretionary,0.69
8/11/20,Consumer Staples,0.57
8/11/20,Financials,0.52
8/11/20,Information Technology,0.52
8/11/20,Industrials,0.5
8/11/20,Health Care,0.49
8/11/20,Materials,0.43
8/11/20,Telecommunications Services,0.29
8/12/20,Consumer Staples,0.49
8/12/20,Information Technology,0.48
8/12/20,Consumer Discretionary,0.45
8/12/20,Health Care,0.45
8/12/20,Industrials,0.41
8/12/20,Materials,0.35
8/12/20,Energy,0.25
8/12/20,Utilities,0.21
8/12/20,Telecommunications Services,0.08
8/12/20,Real Estate,-0.02
8/12/20,Financials,-0.25
8/13/20,Financials,0.2
8/13/20,Health Care,0.15
8/13/20,Utilities,0.15
8/13/20,Industrials,0.11
8/13/20,Real Estate,0.09
8/13/20,Consumer Discretionary,0.06
8/13/20,Telecommunications Services,0.03
8/13/20,Consumer Staples,0.02
8/13/20,Information Technology,0.01
8/13/20,Materials,-0.05
8/13/20,Energy,-0.41
8/14/20,Utilities,0.39
8/14/20,Health Care,0.15
8/14/20,Consumer Staples,0.13
8/14/20,Financials,0.09
8/14/20,Real Estate,0.06
8/14/20,Industrials,0.01
8/14/20,Information Technology,-0.1
8/14/20,Materials,-0.12
8/14/20,Telecommunications Services,-0.12
8/14/20,Consumer Discretionary,-0.14
8/14/20,Energy,-0.6
8/15/20,Energy,0.73
8/15/20,Materials,0.39
8/15/20,Real Estate,0.35
8/15/20,Financials,0.35
8/15/20,Industrials,0.25
8/15/20,Telecommunications Services,0.21
8/15/20,Information Technology,0.21
8/15/20,Utilities,0.08
8/15/20,Health Care,0.08
8/15/20,Consumer Discretionary,0.06
8/15/20,Consumer Staples,-0.02
8/16/20,Industrials,0.33
8/16/20,Consumer Discretionary,0.3
